Instituição,Faculdade,Curso,Grau,Informações adicionais do curso (ex. em parceria com),Duração / ETCS,vagas_ano_das_vagas,vagas_fase_1,vagas_fase_2,vagas_fase_3,nota_do_ultimo_colocado_ano_ultimo_classificado,nota_do_ultimo_colocado_notas_fase_1,nota_do_ultimo_colocado_notas_fase_2,nota_do_ultimo_colocado_notas_fase_3,nota_do_ultimo_colocado_notas,provas_de_ingresso_ano_das_provas,provas_de_ingresso_expressao,provas_de_ingresso_provas,classificacao_minima_ano_da_classificacao,classificacao_minima_nota_de_candidatura,classificacao_minima_nota_prova_de_ingresso,formula_de_calculo_ano_da_formula,formula_de_calculo_percentagem_secundario,formula_de_calculo_nota_prova_de_ingresso,Pré-requisitos,Descrição,Saídas profissionais,Certificacao,Destaque,Novo,Selo
Universidade do Porto,Faculdade de Arquitetura,Arquitetura,Mestrado Integrado,,5 anos / 300 ECTS,2025,124,,,2024,"186,0","193,5",,,2025,Um dos seguintes conjuntos:,03 Desenho 10 Geometria Descritiva ou 10 Geometria Descritiva 16 Matemática ou 10 Geometria Descritiva 18 Português,2025,100,100,2025,50%,50%,,"Herdeiro de uma longa tradição, para a qual contribuíram figuras como Álvaro Siza e Eduardo Souto de Moura (vencedores do prestigiado prémio Pritzker em 1992 e 2011, respetivamente), o curso de Arquitetura da “Escola do Porto” proporciona-te uma formação generalista orientada para o exercício da profissão e amplamente reconhecida internacionalmente.","Gabinetes de arquitetura e urbanismo, colaborando no desenvolvimento do projeto em todas as suas fases e em áreas como a reabilitação, o projeto urbano e a sustentabilidade, entre outras. As habilitações permitem igualmente a prática da docência e da investigação em instituições de ensino superior, bem como a integração em autarquias e serviços centrais do Estado, a colaboração em empresas de construção, fiscalização e gestão de obra ou serviços de consultadoria.",,0,0,
Universidade do Porto,Faculdade de Belas-Artes,Artes Plásticas,Licenciatura - 1º ciclo,,4 anos / 240 ECTS,2025,64,,,2024,"174,5","190,0",,,2025,Um dos seguintes conjuntos:,03 Desenho 10 Geometria Descritiva ou 03 Desenho 12 Hist. da Cultura e Artes,2025,95,95,2025,50%,50%,,"A licenciatura em Artes Plásticas tem como objetivo a formação de profissionais polivalentes através de uma sólida preparação teórica e prática, nos territórios da criação, investigação e expressão plástica. 
Depois de um primeiro ano comum, a licenciatura desenvolve-se por três ramos de especialização: Escultura, Multimédia e Pintura. No final, o curso confere acesso a cursos de pós-graduação e mestrado nacionais e internacionais nos domínios da prática artística, dos estudos de artes visuais, da curadoria e da educação artística.","Atividade de produção artística nos domínios da escultura, multimédia e pintura; atividade no mercado artístico e editorial; atividade nas áreas do teatro, da televisão e similares; ensino artístico e formação tecnológica; direção, gestão e coordenação de equipas; estudos de índole tecnológica ou artística; desenvolvimento de projetos para o espaço público e privado; colaboração com organizações culturais públicas e privadas.",,0,0,
Universidade do Porto,Faculdade de Belas-Artes,Desenho,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,25,,,2024,"180,5",,,,2025,Um dos seguintes conjuntos:,03 Desenho (30%) 10 Geometria Descritiva (20%) ou 03 Desenho (30%) 12 Hist. da Cultura e Artes (20%),2025,95,95,2025,50%,50%,,"A licenciatura em Desenho é um programa inovador que explora o desenho na relação entre o campo artístico e as suas aplicações profissionais em diversos setores: da narrativa gráfica à diversidade da ilustração científica, da animação à reportagem gráfica e à mediação cultural.
O curso é sustentado numa histórica relação da FBAUP com a prática e a pedagogia do desenho, e num corpo docente e de investigação especializado. Oferece uma formação intensiva baseada em diversos meios analógicos e tecnologias digitais, na história e teoria do desenho e na colaboração em contexto, na qual cada estudante poderá desenvolver a sua vocação e a flexibilidade para trabalhar em várias áreas artísticas e profissionais.
A licenciatura em Desenho confere acesso a cursos de pós-graduação e mestrados nas áreas do desenho, artes plásticas, design, educação artística, ilustração e animação.","Atividade artística; banda desenhada e novela gráfica; animação tradicional e digital; desenho digital aplicado; ilustração científica, etnográfica, médica e arqueológica; reportagem gráfica; ensino do desenho; mediação cultural; cenografia e figurinismo.",,0,0,https://testes.local/wp-content/uploads/2024/04/jovemsteam-1.jpg
Universidade do Porto,Faculdade de Belas-Artes,Design de Comunicação,Licenciatura - 1º ciclo,,4 anos / 240 ECTS,2025,57,,,2024,"178,5","189,0",,,2025,Um dos seguintes conjuntos:,03 Desenho 10 Geometria Descritiva ou 03 Desenho 12 Hist. da Cultura e Artes,2025,95,95,2025,50%,50%,,"A licenciatura em Design de Comunicação tem como objetivo a formação de profissionais de excelência nos diversos campos do design de comunicação contemporâneo, desenvolvendo-se através de duas componentes complementares: a prática, fortemente associada às realidades culturais e de mercado; e a conceptual e investigativa, que permite aos futuros designers construir os seus espaços de autoria, desenvolvimento e crítica.
A licenciatura em Design de Comunicação confere ainda acesso a cursos de pós-graduação e mestrado nacionais e internacionais nas áreas do design, multimédia, ilustração, artes e estudos de cultura visual.","Exercício da profissão liberal; liderança e integração em equipas multidisciplinares de design de comunicação, multimédia e media digitais; consultoria de design; curadoria de exposições ou eventos ligados ao design e à cultura visual; prática pedagógica nas áreas do design e cultura visual.",,0,0,
Universidade do Porto,Faculdade de Ciências,Arquitetura Paisagista,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,25,,,2024,"154,5","156,5",,,2025,Um dos seguintes conjuntos:,02 Biologia e Geologia 10 Geometria Descritiva ou 02 Biologia e Geologia 16 Matemática ou 03 Desenho 10 Geometria Descritiva,2025,100,95,2025,50%,50%,,"Sabias que os arquitetos paisagistas planeiam, projetam e gerem os espaços exteriores onde as pessoas vivem, trabalham e se divertem, harmonizando valores estéticos, funcionais e ambientais? Ao optares por este curso, terás a possibilidade de combinar ciência e arte, numa formação orientada para o estudo e a intervenção em domínios que vão desde a escala do ordenamento do território à conservação e gestão de grandes e complexas paisagens, passando pelo projeto de qualificação do espaço público e pelos parques e jardins de diversas tipologias.","Gabinetes de arquitetura paisagista, arquitetura, urbanismo e engenharia: autarquias e serviços centrais do Estado; instituições detentoras ou gestoras de paisagens; empresas de construção e manutenção de espaços verdes. O cariz profissionalizante do curso potencia ainda a possibilidade de criação dos próprios ateliês de estudos e projetos, ou de empresas de construção e manutenção.",,0,0,
Universidade do Porto,Faculdade de Ciências,Bioinformática,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,37,,,2024,"165,0","165,3",,,2025,Um dos seguintes conjuntos:,02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A,2025,100,95,2025,50%,50%,,"A Bioinformática é uma disciplina na interface das revoluções em curso na Biologia e na Ciência de Computadores. Tem como objetivo analisar e compreender dados biológicos e biomédicos, em particular ao nível celular e molecular. Envolve o desenvolvimento e a aplicação de algoritmos e ferramentas computacionais, nomeadamente de inteligência artificial e machine learning, para organizar, analisar e extrair informações relevantes de grandes conjuntos de dados biológicos, contribuindo para avanços em áreas como a genómica e outras ómicas, a genética, a biologia de sistemas, a patologia, a ecologia e a evolução, e a epidemiologia, entre outras.","Com um diploma em Bioinformática poderás desempenhar atividades científico-tecnológicas em laboratórios de instituições de saúde (centros hospitalares e institutos de saúde pública); atividades científico-tecnológicas de Investigação e Desenvolvimento ou de transferência de tecnologia em empresas (desenvolvimento de software, farmacêuticas e centros de diagnóstico); atividades de consultoria e análise de dados biomédicos; e investigação científica em universidades ou centros de investigação.",https://testes.local/wp-content/uploads/2024/04/prr-logos-1.jpg,0,0,https://testes.local/wp-content/uploads/2024/04/jovemsteam-1.jpg
Universidade do Porto,Faculdade de Ciências,Biologia,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,131,,,2024,"150,5","145,5",,,2025,Um dos seguintes conjuntos:,02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 19 Matemática A ou 02 Biologia e Geologia 18 Português,2025,100,95,2025,50%,50%,,"A licenciatura em Biologia permite-te obter uma ampla formação teórica e prática (laboratorial e de campo) em domínios tão variados como a Biodiversidade, a Biologia Humana, a Ecologia, a Evolução, a Fisiologia, a Genética e a Microbiologia, abordados nos aspetos clássicos e modernos decorrentes da Biologia Celular e Molecular, da Bioquímica e da Biotecnologia.","O diploma em Biologia garante as competências e conhecimentos necessários para uma entrada
bem-sucedida no mercado de trabalho, em áreas tão diversas como o Ambiente, a Gestão de
Recursos Vivos, a Saúde, a Biotecnologia, a indústria alimentar, a produção vegetal e animal e as
análises forenses. A formação obtida permite-te ainda enveredar por uma carreira docente ou de
investigação ao mais alto nível.",,0,0,
Universidade do Porto,Faculdade de Ciências,Bioquímica,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,92,,,2024,"163,0","153,5",,,2025,Duas das seguintes provas:,02 Biologia e Geologia 07 Física e Química 19 Matemática A,2025,100,95,2025,50%,50%,,"Na licenciatura em Bioquímica encontrarás uma sólida base de conhecimentos fundamentais nesta área. Esses conhecimentos traduzem-se, por sua vez, em competências científicas e tecnológicas aplicáveis em domínios como a investigação em laboratórios de universidades, centros de investigação ou empresas, em ciência básica ou aplicada; a compreensão ao nível molecular da arquitetura, divisão e diferenciação das células, ou a manipulação de moléculas e células para produção de substâncias com atividade biológica (ex: novos fármacos).","O diploma em Bioquímica habilita-te a desempenhar funções técnicas em indústrias e serviços em
diversas áreas científicas, incluindo não só a Bioquímica, mas também a Biofísica, Biologia
Molecular e Celular, Fisiologia Microbiologia, Imunologia, Química Alimentar, Ecologia, entre
outras.",,0,0,
Universidade do Porto,Faculdade de Ciências,Ciência de Computadores,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,60,,,2024,"163,5","171,0",,,2025,Um dos seguintes conjuntos:,07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português,2025,100,95,2025,50%,50%,,"Se és um(a) apaixonado(a) pelos computadores, neste curso irás adquirir as competências necessárias para desempenhar funções nos domínios da consultoria em tecnologias da informação; desenho, implementação, desenvolvimento e gestão de sistemas de informação; instalação e administração de sistemas em rede; gestão e desenvolvimento de bases de dados; programação para sistemas móveis / web e multimédia; ensino de tecnologias de informação; investigação.",Indústria de tecnologias de informação; departamentos e/ou serviços de informática; companhias de telecomunicações fixas e móveis; empresas de desenvolvimento de software; ensino médio e superior; laboratórios de investigação.,,0,0,
Universidade do Porto,Faculdade de Ciências,Ciências e Tecnologia do Ambiente,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,40,,,2024,"139,5","131,5",,,2025,Um dos seguintes conjuntos:,02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 16 Matemática ou 02 Biologia e Geologia 18 Português,2025,100,95,2025,50%,50%,,A defesa do ambiente é uma das tuas causas? Então este é o curso certo para ti. Na licenciatura em Ciências e Tecnologia do Ambiente encontrarás a formação científica e tecnológica necessária para desempenhares funções em domínios como a avaliação e monitorização da qualidade do ambiente/controlo da poluição; o desenvolvimento e gestão de unidades de tratamento de águas residuais; a gestão e conservação de recursos naturais e de resíduos sólidos; a dinamização de atividades de educação ambiental; e a investigação.,"Empresas de serviços na área do Ambiente; indústrias; administração central e local; entidades que promovam ações de educação ambiental; áreas naturais com estatuto de conservação e proteção; empresas de consultoria, de fiscalização e monitorização ambiental; centros de investigação; docência universitária.",,0,0,
Universidade do Porto,Faculdade de Ciências,Engenharia Agronómica,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,21,,,2024,"116,5","126,0",,,2025,Um dos seguintes conjuntos:,07 Física e Química 19 Matemática A ou 02 Biologia e Geologia 19 Matemática A,2025,100,95,2025,50%,50%,,"A licenciatura em Engenharia Agronómica foi concebida com o objetivo de proporcionar uma sólida formação ancorada nas ciências de base da Agronomia. Seja qual for o percurso que escolhas (Produção Agrária ou Tecnologia e Ciência Alimentar), vais obter e consolidar competências indispensáveis a uma futura profissionalização qualificada nas áreas da produção primária e/ou secundária.","Empresas de produção primária vegetal ou animal, ou de consultoria, assim como serviços ou entidades de relação da agricultura com o ambiente, indústria e desenvolvimento rural.",https://testes.local/wp-content/uploads/2024/04/prr-logos-1.jpg,0,0,https://testes.local/wp-content/uploads/2024/04/jovemsteam-1.jpg
Universidade do Porto,Faculdade de Ciências,Engenharia Física,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,60,,,2024,"145,8","144,8",,,2025,,07 Física e Química 19 Matemática A,2025,100,95,2025,50%,50%,,"Partilhada entre a Faculdade de Ciências (FCUP) e a Faculdade de Engenharia (FEUP), a altamente multidisciplinar licenciatura em Engenharia Física oferece-te uma forte formação científica em Física e Matemática, complementada com uma avançada formação tecnológica em Engenharia. As áreas de especialização do curso incluem Materiais Avançados, Micro e Nano Dispositivos, Nanotecnologia, Spintrónica, Ótica, Optoelectrónica, Lasers, Comunicação e Instrumentação, e aspetos fundamentais e aplicados, orientados para a Engenharia.","Investigação e desenvolvimento industrial; empresas de serviços, consultadoria e gestão
tecnológica; laboratórios de controlo de qualidade e certificação; orientação para domínios como
os da Metrologia, Tecnologias de Saúde e Biologia, Sistemas de Informação e Comunicação,
Tecnologias de Criogenia e Alto Vácuo, Materiais Funcionais e Micro/Nano Dispositivos em
Eletrónica, Optoelectrónica e Comunicações, Sensorização, Lasers e Instrumentação.",,0,0,
Universidade do Porto,Faculdade de Ciências,Engenharia Geoespacial,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,23,,,2024,"113,3","122,0",,,2025,,07 Física e Química 19 Matemática A,2025,100,95,2025,50%,50%,,"A licenciatura em Engenharia Geoespacial proporciona-te uma sólida formação nas ciências fundamentais e na informática com áreas tecnológicas específicas, tais como a deteção remota, o posicionamento por satélite e os sistemas de informação geográfica (SIG). Nas unidades curriculares da especialidade vais ainda contactar com as mais recentes tecnologias de aquisição de informação georreferenciada, utilizando plataformas espaciais, aéreas, terrestres e marinhas.","O diploma em Engenharia Geoespacial habilita-te a adesempenhar tarefas no setor privado, na administração pública, em instituições europeias ou na investigação científica em diferente áreas: posicionamento e navegação por satélite;
processamento e análise de dados de deteção remota; estudo do oceano costeiro e profundo; cadastro; tratamento e disponibilização de informação em ambiente web; exploração e análise de informação geoespacial; aquisição de informação geoespacial com recurso a veículos terrestres, marinhos e aéreos não tripulados (VANTs); e desenvolvimento de aplicações SIG, entre outras.",,0,0,
Universidade do Porto,Faculdade de Ciências,Física,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,45,,,2024,"125,0","115,3",,,2025,,07 Física e Química 19 Matemática A,2025,100,95,2025,50%,50%,,"A licenciatura em Física desafia-te a descobrir as leis que determinam o funcionamento do mundo. Para isso, combina reflexão e intuição, matemática avançada, computação e envolvência experimental, que te ajudarão a compreender (e a dar a compreender) os diferentes fenómenos naturais e a utilizar os sistemas e processos tecnológicos que suportam essas leis. Abre-te ainda as portas para uma formação pós-graduada em áreas como a Astronomia, a Engenharia Física e a Física Médica, entre muitas outras.","O diploma em Física habilita-te a exercer funções de investigação, docência, professor e consultoria em áreas variadas, desde a indústria ao ambiente empresarial, incluindo a banca e os seguros. Poderás ainda ocupar cargos técnicos de nível intermédio (laboratórios do Estado, escolas, controlo de qualidade, serviços/departamentos de Física Médica em hospitais e clínicas, empresas de equipamento médico, serviços financeiros, seguradoras, indústrias e tecnologia de informação).",,0,0,
Universidade do Porto,Faculdade de Ciências,Geologia,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,33,,,2024,"131,5","129,0",,,2025,Um dos seguintes conjuntos:,02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 19 Matemática A ou 02 Biologia e Geologia 09 Geografia,2025,100,95,2025,50%,50%,,"A licenciatura em Geologia garante-te uma formação ampla e diversificada, indispensável ao exercício de cargos técnicos em setores ligados à prospeção, exploração e gestão de recursos geológicos, hidrogeológicos e energéticos; apoio técnico em empresas de construção de estradas e barragens e em projetos de fundação de estruturas; orientação técnica de explorações mineiras; identificação de riscos de catástrofes naturais; e avaliação e mitigação de impactos ambientais.","Empresas de prospeção e/ou de desenvolvimento mineiro e captação de água; empresas de projeto e de consultoria de Geotecnia; investigação e docência em Instituições de Ensino Superior; investigação em instituições de investigação científica e técnica; ensino, divulgação e valorização do Património Geológico; autarquias e empresas de desenvolvimento e planeamento regional.
",,0,0,
Universidade do Porto,Faculdade de Ciências,Inteligência Artificial e Ciência de Dados,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,65,,,2024,"187,5","191,0",,,2025,Um dos seguintes conjuntos:,07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português,2025,100,95,2025,50%,50%,,"A inovadora licenciatura em Inteligência Artificial e Ciência de Dados tem como objetivo formar profissionais altamente qualificados numa das áreas mais dinâmicas e promissoras da atualidade. Assente numa formação sólida em Ciência de Computadores / Engenharia Informática e Matemática, o curso permite-te desenvolver competências em programação, algoritmia, estatística, métodos numéricos, otimização, aprendizagem computacional, processamento de imagem e de língua natural, robótica e sistemas inteligentes, segurança e privacidade.",Cientista de dados em empresa ou em laboratório de investigação; especialista em aprendizagem computacional (Machine Learning); analista de dados; especialista em Inteligência Artificial com ênfase em Ciência de Dados; programador especializado em Inteligência Artificial e Ciência de Dados; outras funções e carreiras de especialista na área da Ciência de Computadores. ,,0,0,https://testes.local/wp-content/uploads/2024/04/jovemsteam-1.jpg
Universidade do Porto,Faculdade de Ciências,Matemática,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,56,,,2024,"166,5","162,0",,,2025,Um dos seguintes conjuntos:,02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português,2025,100,95,2025,50%,50%,,"Números e fórmulas são a tua praia? Neste curso encontrarás uma sólida e ampla formação básica, que te garantirá os conhecimentos fundamentais nas áreas principais da Matemática e o contacto com as suas aplicações. Como ""bónus"", podes personalizar parte do percurso académico de acordo com as tuas orientações vocacionais e expectativas profissionais, usufruindo da multidisciplinaridade do conhecimento na FCUP em ciências exatas e naturais, ciência de computadores e aplicações à tecnologia.","Diversos setores da indústria, serviços, tecnologia, atividades financeiras ligadas à banca e seguros, telecomunicações e transportes, exercendo funções em áreas variadas como a modelação matemática, a análise estatística, a análise de dados e o desenvolvimento de algoritmos e de software informático. O curso pode ainda abrir portas à frequência de ciclos de pós graduação (mestrados e/ou doutoramentos) em Matemática fundamental ou aplicada, e áreas afins, como as Ciências, a Engenharia, a Economia, a Gestão e a Informática, entre outras.",,0,0,
Universidade do Porto,Faculdade de Ciências,Matemática Aplicada,Licenciatura - 1º ciclo,,3 anos / 180 ECTS,2025,60,,,2024,"162,5","160,0",,,2025,Um dos seguintes conjuntos:,02 Biologia e Geologia 19 Matemática A ou 07 Física e Química 19 Matemática A ou 19 Matemática A 18 Português,2025,100,95,2025,50%,50%,,"Se gostas de Matemática, este curso da U.Porto dá-te a possibilidade de aplicar o papel transformador desta disciplina na resposta a alguns dos maiores desafios da sociedade atual. Partindo de uma forte formação matemática, serás capaz de modelar, simular e/ou apoiar argumentos ou decisões na resolução de problemas da ciência, da indústria ou dos serviços. Esta é também uma excelente porta para o mercado de trabalho, tendo em conta o crescente interesse de variadas entidades empregadoras por formações em Matemática Aplicada.","Empresas de consultadoria financeira e de serviços atuariais; indústria (aeroespacial, biotecnologia, energia. engenharia, farmacêutica, etc.); instituições públicas; e institutos de investigação nas áreas das Ciências da Saúde, Ciências Naturais, Engenharia e Matemática.
",,0,0,https://testes.local/wp-content/uploads/2024/04/jovemsteam-1.jpg
